,School,Games Played,Wins,Losses,W-L%,Simple Rating System,Strength of Schedule,Conf. Wins,Conf. Losses,Home Wins,Home Losses,Away Wins,Away Losses,Total Pts Scored,Total Pts Suffered,Minutes Played,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Year
158,Missouri State,32,16,16,.500,7.46,3.64,11,7,9,4,4,7,2369,2247,,809,1792,.451,169,463,.365,582,791,.736,370,1180,515,253,92,487,613,1998
159,Monmouth,27,4,23,.148,-16.38,-4.23,3,13,2,9,1,11,1624,1952,,602,1419,.424,195,506,.385,225,337,.668,217,742,385,211,41,442,431,1998
160,Montana,30,16,14,.533,-3.65,-3.41,9,7,11,4,5,7,2052,1992,,715,1624,.440,150,429,.350,472,621,.760,351,1089,410,241,57,507,588,1998
161,Montana State,30,19,11,.633,2.76,-3.96,9,7,12,2,4,9,2398,2096,,859,1800,.477,243,652,.373,437,570,.767,294,1103,624,207,79,462,547,1998
162,Morehead State,26,3,23,.115,-15.16,-3.85,2,16,2,9,1,14,1653,1947,,590,1493,.395,126,404,.312,347,526,.660,372,960,347,206,58,488,548,1998
163,Morgan State,28,12,16,.429,-13.99,-8.88,11,7,7,3,4,12,2034,2177,,744,1741,.427,157,510,.308,389,627,.620,380,984,389,314,144,520,605,1998
164,Mount St. Mary's,28,13,15,.464,-4.99,-5.60,8,8,6,5,5,8,2000,1983,,733,1725,.425,210,617,.340,324,498,.651,385,1021,435,228,116,410,521,1998
165,Murray State NCAA,33,29,4,.879,6.82,-6.35,16,2,16,0,10,2,2862,2334,,1037,2070,.501,205,516,.397,583,862,.676,488,1305,540,222,114,467,640,1998
166,Navy NCAA,30,19,11,.633,-3.79,-7.49,10,2,13,2,6,8,2132,1941,,777,1792,.434,99,333,.297,479,725,.661,445,1205,414,282,97,487,633,1998
167,NC State,32,17,15,.531,10.84,8.53,5,11,13,8,3,5,2062,1988,1290,712,1634,.436,199,535,.372,439,613,.716,313,883,407,237,92,416,583,1998
168,Nebraska NCAA,32,20,12,.625,8.72,5.65,10,6,13,2,5,7,2290,2192,,867,1938,.447,150,436,.344,406,649,.626,473,1263,511,319,156,552,583,1998
169,Nevada,28,16,12,.571,0.77,0.69,11,5,11,4,5,8,2156,2119,,748,1569,.477,179,518,.346,481,656,.733,288,967,471,192,68,462,531,1998
170,Nevada-Las Vegas NCAA,33,20,13,.606,7.43,5.34,7,7,16,4,4,8,2292,2197,1320,766,1815,.422,194,564,.344,566,863,.656,404,1267,432,196,109,450,587,1998
171,New Hampshire,27,10,17,.370,-10.28,-4.55,6,12,8,5,1,11,1767,1889,,621,1445,.430,166,466,.356,359,518,.693,276,911,367,150,83,429,610,1998
172,New Mexico NCAA,32,24,8,.750,14.98,5.17,11,3,15,1,6,6,2423,2109,,846,1793,.472,301,748,.402,430,568,.757,333,1097,529,225,117,384,453,1998
173,New Mexico State,30,18,12,.600,3.76,0.07,8,8,14,3,2,8,2250,2069,,794,1743,.456,228,608,.375,434,652,.666,383,1145,409,182,87,430,488,1998
174,New Orleans,27,15,12,.556,-0.87,-2.98,9,9,8,6,6,6,1870,1813,,655,1456,.450,142,403,.352,418,611,.684,,968,381,199,106,445,515,1998
175,Niagara,27,14,13,.519,0.51,-1.42,10,8,9,4,5,7,1953,1901,,683,1422,.480,125,337,.371,462,636,.726,318,946,419,156,80,415,548,1998
176,Nicholls State NCAA,29,19,10,.655,-5.33,-5.94,15,1,9,0,8,7,2228,2194,,798,1736,.460,157,482,.326,475,685,.693,352,962,482,298,89,457,582,1998
177,Norfolk State,27,6,21,.222,-16.25,-5.73,,,3,4,2,16,1783,2047,,661,1616,.409,102,300,.340,359,550,.653,399,980,267,246,98,485,565,1998
178,North Carolina NCAA,38,34,4,.895,26.67,10.38,13,3,13,1,9,2,3113,2494,1550,1131,2184,.518,185,511,.362,666,937,.711,490,1512,699,259,188,493,533,1998
179,North Carolina A&T,27,8,19,.296,-18.02,-10.98,7,11,6,7,2,11,1791,1963,,617,1470,.420,180,513,.351,377,592,.637,403,911,301,156,62,517,570,1998
180,North Texas,26,5,21,.192,-9.89,4.03,4,12,3,6,2,15,1992,2354,,699,1917,.365,250,789,.317,344,491,.701,479,981,295,303,58,440,539,1998
181,Northeastern,28,14,14,.500,-6.60,-5.35,9,9,8,2,4,11,1890,1925,,670,1614,.415,142,401,.354,408,572,.713,385,998,310,212,66,418,570,1998
182,Northeastern Illinois,25,6,19,.240,-21.26,-6.00,3,13,5,6,1,13,1733,2037,,598,1481,.404,160,482,.332,377,544,.693,,865,331,204,55,425,577,1998
183,Northern Arizona NCAA,29,21,8,.724,6.50,-5.14,13,3,14,1,7,6,2326,1954,,806,1577,.511,254,591,.430,460,627,.734,288,982,524,226,83,486,556,1998
184,Northern Illinois,26,10,16,.385,-3.91,-1.87,6,12,6,6,3,9,1764,1770,,635,1504,.422,121,370,.327,373,557,.670,353,984,332,190,61,409,514,1998
185,Northern Iowa,27,10,17,.370,-0.98,0.17,4,14,7,6,3,10,1869,1900,,667,1673,.399,194,568,.342,341,516,.661,404,1040,371,201,105,390,557,1998
186,Northwestern,27,10,17,.370,2.33,5.59,3,13,10,7,0,10,1636,1724,,570,1203,.474,142,375,.379,354,579,.611,263,903,407,107,45,461,478,1998
187,Northwestern State,27,13,14,.481,-10.06,-7.78,10,6,8,4,5,9,1993,1998,,696,1547,.450,150,410,.366,451,670,.673,363,965,412,220,48,473,672,1998
188,Notre Dame,27,13,14,.481,5.54,6.28,7,11,10,5,3,8,1896,1916,1080,676,1514,.446,169,461,.367,375,562,.667,334,1051,460,181,76,463,477,1998
189,Ohio,26,5,21,.192,-11.07,2.43,3,15,4,7,1,12,1663,2014,,596,1452,.410,117,399,.293,354,558,.634,378,961,326,122,60,509,556,1998
190,Ohio State,30,8,22,.267,1.83,8.73,1,15,7,10,1,8,1978,2185,1205,743,1670,.445,143,458,.312,349,607,.575,368,960,423,191,93,471,530,1998
191,Oklahoma NCAA,33,22,11,.667,9.41,4.19,11,5,12,3,6,4,2462,2253,1330,829,1860,.446,182,518,.351,622,887,.701,473,1260,477,245,139,510,651,1998
192,Oklahoma State NCAA,29,22,7,.759,14.30,4.64,11,5,14,2,6,3,2288,2008,1180,813,1741,.467,167,504,.331,495,703,.704,373,1069,494,249,52,404,497,1998
193,Old Dominion,28,12,16,.429,-2.71,-0.67,8,8,7,6,4,9,1738,1795,,617,1475,.418,179,478,.374,325,528,.616,343,1049,379,158,167,420,482,1998
194,Oral Roberts,31,19,12,.613,0.35,-4.93,12,4,10,1,7,8,2485,2234,,890,1848,.482,268,667,.402,437,671,.651,397,1087,559,265,97,547,517,1998
195,Oregon,27,13,14,.481,5.96,7.19,8,10,10,5,3,9,1859,1893,1080,645,1488,.433,189,506,.374,380,560,.679,326,880,393,174,92,427,530,1998
196,Oregon State,30,13,17,.433,4.72,6.18,3,15,7,8,4,8,2122,2094,1205,775,1683,.460,155,470,.330,417,691,.603,386,1070,433,256,103,519,633,1998
197,Pacific,33,23,10,.697,8.51,-0.55,14,2,13,2,8,5,2411,2086,,841,1692,.497,236,610,.387,493,802,.615,356,1218,565,146,130,446,541,1998
198,Penn State,32,19,13,.594,10.48,6.42,8,8,12,2,6,8,2334,2201,1290,821,1735,.473,222,624,.356,470,635,.740,312,1012,513,228,180,468,561,1998
199,Pennsylvania,29,17,12,.586,-0.68,-2.89,10,4,10,2,5,4,2080,2009,,719,1558,.461,223,526,.424,419,616,.680,275,940,417,169,48,362,539,1998
200,Pepperdine,27,17,10,.630,4.74,0.81,9,5,10,2,6,7,1885,1779,,694,1494,.465,144,404,.356,353,529,.667,297,955,405,200,75,406,491,1998
201,Pittsburgh,27,11,16,.407,2.66,5.95,6,12,7,6,4,8,1987,2076,1105,745,1678,.444,157,487,.322,340,495,.687,402,979,396,241,133,465,502,1998
202,Portland,27,14,13,.519,-3.51,0.05,7,7,10,4,4,9,1822,1821,,660,1547,.427,147,430,.342,355,557,.637,322,932,335,235,62,417,533,1998
203,Portland State,27,15,12,.556,,,10,6,8,1,3,11,,1879,,,,,,,,,,,271,,,,,,,1998
204,Prairie View NCAA,30,13,17,.433,-17.11,-6.19,6,10,8,3,2,13,2175,2404,1210,778,1961,.397,123,461,.267,496,824,.602,479,1249,316,276,83,529,659,1998
205,Princeton NCAA,29,27,2,.931,11.54,-3.60,14,0,12,0,9,1,1928,1491,,684,1374,.498,265,681,.389,295,438,.674,203,771,478,245,78,294,453,1998
206,Providence,29,13,16,.448,7.08,7.77,7,11,8,6,4,8,1896,1916,1160,660,1585,.416,131,437,.300,445,635,.701,347,961,393,249,85,426,589,1998
207,Purdue NCAA,36,28,8,.778,20.67,9.23,12,4,13,1,8,3,3014,2602,1445,1057,2185,.484,243,650,.374,657,864,.760,491,1128,680,313,137,559,586,1998
208,Radford NCAA,30,20,10,.667,-5.25,-9.38,10,2,11,2,5,7,2271,2162,,803,1710,.470,244,636,.384,421,611,.689,362,1049,505,237,92,533,617,1998
209,Rhode Island NCAA,34,25,9,.735,12.57,6.42,12,4,12,2,8,4,2642,2433,1370,923,2045,.451,258,689,.374,538,759,.709,432,1247,511,248,161,424,600,1998
210,Rice,28,6,22,.214,-1.99,5.86,3,11,4,9,1,10,1772,1962,,647,1584,.408,157,461,.341,321,506,.634,335,1020,403,158,73,420,537,1998
211,Richmond NCAA,31,23,8,.742,6.34,-1.70,12,4,13,1,6,6,2169,1920,1250,771,1691,.456,241,605,.398,386,553,.698,338,993,438,189,97,328,449,1998
212,Rider,28,18,10,.643,1.26,-3.31,12,6,10,2,7,7,1972,1844,,690,1469,.470,149,432,.345,443,637,.695,325,982,412,201,85,473,569,1998
213,Robert Morris,27,8,19,.296,-12.28,-6.13,4,12,3,10,5,8,1702,1850,,632,1516,.417,107,346,.309,331,492,.673,368,992,392,152,34,455,533,1998
214,Rutgers,29,14,15,.483,9.47,6.74,6,12,10,6,2,8,2007,1928,1165,683,1538,.444,189,535,.353,452,661,.684,355,1012,441,231,101,485,522,1998
215,Sacramento State,26,1,25,.038,-22.34,-1.99,0,16,1,11,0,14,1517,2017,,577,1435,.402,113,387,.292,250,450,.556,330,915,294,121,51,472,500,1998
216,Saint Francis (PA),27,17,10,.630,-4.81,-7.46,10,6,10,5,7,4,1872,1799,,640,1424,.449,134,378,.354,458,634,.722,354,1040,387,176,94,507,494,1998
217,Saint Joseph's,28,11,17,.393,1.56,5.46,3,13,5,6,3,10,1872,1981,1135,648,1582,.410,204,600,.340,372,551,.675,351,1026,368,139,73,396,534,1998
218,Saint Louis NCAA,33,22,11,.667,9.47,5.50,11,5,13,2,7,4,2221,2090,1320,768,1782,.431,183,517,.354,502,758,.662,378,1062,453,291,73,497,618,1998
219,Saint Mary's (CA),26,11,15,.423,-2.68,1.60,7,7,7,2,4,10,1955,2058,,635,1495,.425,229,613,.374,456,624,.731,343,951,336,133,40,391,496,1998
220,Saint Peter's,27,8,19,.296,-6.18,-2.85,4,14,7,7,1,11,1862,1952,,686,1575,.436,90,306,.294,400,613,.653,408,1032,358,180,74,459,671,1998
221,Sam Houston,26,9,17,.346,-10.97,-6.39,7,9,7,3,1,13,1805,1924,,631,1392,.453,161,467,.345,382,516,.740,279,827,421,151,54,409,464,1998
222,Samford,27,14,13,.519,-9.50,-10.33,9,7,11,1,2,9,1860,1808,,623,1346,.463,194,569,.341,420,580,.724,258,863,385,134,76,409,476,1998
223,San Diego,28,14,14,.500,-1.29,0.56,5,9,9,3,3,10,1973,1979,,681,1438,.474,158,420,.376,453,624,.726,244,885,407,187,62,441,451,1998
224,San Diego State,28,13,15,.464,-1.04,3.44,5,9,7,7,5,6,1939,2050,,661,1602,.413,175,580,.302,442,670,.660,357,999,326,221,72,475,500,1998
225,San Francisco NCAA,30,19,11,.633,7.80,1.31,7,7,10,3,6,6,2197,1989,,816,1749,.467,179,518,.346,386,551,.701,419,1075,468,258,82,463,601,1998
226,San Jose State,26,3,23,.115,-11.12,4.73,1,13,3,10,0,13,1551,1995,,571,1528,.374,109,349,.312,300,442,.679,322,886,339,115,63,397,444,1998
227,Santa Clara,28,18,10,.643,5.55,2.26,8,6,10,4,6,5,2050,1903,,706,1696,.416,169,488,.346,469,668,.702,409,1063,389,232,72,388,581,1998
228,Seton Hall,30,15,15,.500,6.24,7.73,9,9,10,4,5,7,2028,2061,1220,712,1787,.398,234,730,.321,370,523,.707,394,1080,396,228,72,410,521,1998
229,Siena,29,17,12,.586,0.29,-2.95,10,8,12,3,4,7,2417,2323,,801,1827,.438,241,636,.379,574,715,.803,387,1159,490,307,105,485,688,1998
230,South Alabama NCAA,28,21,7,.750,7.57,-2.93,14,4,10,2,8,4,1820,1526,,665,1371,.485,129,324,.398,361,559,.646,326,952,424,189,83,438,456,1998
231,South Carolina NCAA,31,23,8,.742,12.51,8.77,11,5,13,1,5,5,2211,2088,,739,1669,.443,178,534,.333,555,802,.692,382,1164,391,183,117,468,486,1998
232,South Carolina State NCAA,30,22,8,.733,-5.65,-10.23,16,2,10,2,9,5,2229,2101,,765,1655,.462,174,436,.399,525,765,.686,394,1090,319,217,130,521,594,1998
233,South Florida,30,17,13,.567,2.69,3.16,7,9,9,6,6,5,1974,1988,1210,672,1709,.393,158,548,.288,472,719,.656,438,1094,380,297,90,448,647,1998
234,Southeast Missouri State,27,14,13,.519,-6.61,-5.53,10,8,9,4,5,9,1976,1939,,699,1542,.453,208,575,.362,370,528,.701,265,933,409,160,74,361,454,1998
235,Southeastern Louisiana,26,6,20,.231,-18.73,-8.90,2,14,4,8,2,12,2065,2230,,758,1713,.442,227,633,.359,322,487,.661,376,967,431,184,58,472,589,1998
236,Southern,27,14,13,.519,-7.83,-11.14,10,6,10,1,4,11,2333,2169,,825,1806,.457,161,470,.343,522,802,.651,458,1056,369,298,84,437,636,1998
237,Southern California,28,9,19,.321,2.12,7.48,5,13,6,7,3,12,2101,2251,1140,758,1763,.430,228,610,.374,357,558,.640,385,1037,391,236,122,485,586,1998
238,Southern Illinois,32,14,18,.438,1.80,2.32,8,10,7,6,5,9,2266,2258,1205,816,1903,.429,243,656,.370,391,584,.670,545,1276,448,201,66,501,546,1998
239,Southern Methodist,28,18,10,.643,5.82,0.63,6,8,13,4,4,5,2141,1967,,740,1745,.424,202,588,.344,459,670,.685,466,1130,359,198,86,359,443,1998
240,Southern Mississippi,33,22,11,.667,8.92,2.42,9,7,10,3,6,6,2283,2057,,809,1717,.471,131,362,.362,534,772,.692,332,1171,476,199,123,476,597,1998
241,Southern Utah,27,7,20,.259,-13.89,-5.41,4,12,6,7,1,12,1861,2052,,646,1575,.410,140,492,.285,429,617,.695,310,928,347,214,126,451,598,1998
242,St. Bonaventure,32,17,15,.531,4.11,3.42,6,10,10,3,3,10,2104,2082,,744,1754,.424,135,471,.287,481,753,.639,483,1193,369,276,164,530,577,1998
243,St. Francis (NY),27,15,12,.556,-5.54,-6.89,10,6,9,3,6,8,1929,1879,,673,1606,.419,170,524,.324,413,622,.664,381,1027,379,251,86,481,604,1998
244,St. John's (NY) NCAA,32,22,10,.688,11.28,6.76,13,5,12,5,9,3,2333,2181,1305,820,1870,.439,145,450,.322,548,855,.641,563,1353,464,239,130,527,619,1998
245,Stanford NCAA,35,30,5,.857,18.95,8.12,15,3,11,2,10,2,2807,2390,,947,2080,.455,262,642,.408,651,882,.738,508,1444,569,183,111,479,640,1998
246,Stephen F. Austin,26,10,16,.385,-14.37,-6.29,6,10,8,4,2,12,1859,2027,,656,1515,.433,133,422,.315,414,600,.690,327,889,378,230,55,426,505,1998
247,Stetson,26,11,15,.423,-12.28,-8.24,8,8,7,5,4,9,1815,1898,,616,1446,.426,133,391,.340,450,644,.699,356,941,329,143,42,373,505,1998
248,Syracuse NCAA,35,26,9,.743,11.87,7.98,12,6,12,4,9,2,2481,2345,1410,867,1993,.435,199,604,.329,548,811,.676,489,1330,554,334,198,557,600,1998
249,TCU NCAA,33,27,6,.818,22.29,2.70,14,0,16,1,9,1,3209,2570,1330,1220,2463,.495,210,572,.367,559,763,.733,565,1466,651,365,131,507,602,1998
250,Temple NCAA,30,21,9,.700,12.50,7.50,13,3,10,4,9,3,1970,1820,1205,668,1661,.402,216,660,.327,418,618,.676,396,1037,338,321,130,353,482,1998
251,Tennessee NCAA,29,20,9,.690,11.15,5.91,9,7,14,2,5,5,2200,2048,,757,1776,.426,207,547,.378,479,745,.643,391,1128,392,240,174,453,584,1998
252,Tennessee State,29,13,16,.448,-9.34,-5.71,8,10,6,7,6,8,2065,2051,,734,1804,.407,248,688,.360,349,526,.663,407,1117,378,201,95,478,620,1998
253,Tennessee Tech,30,9,21,.300,-18.49,-6.38,5,13,4,9,4,10,1974,2269,,776,1848,.420,120,451,.266,302,504,.599,395,1147,418,251,145,555,545,1998
254,Tennessee-Martin,27,7,20,.259,-16.71,-4.36,5,13,5,6,2,12,1709,2002,,628,1429,.439,144,422,.341,309,474,.652,252,856,374,202,87,482,401,1998
255,Texas,31,14,17,.452,4.53,6.47,6,10,9,5,3,9,2463,2523,,865,2006,.431,236,717,.329,497,731,.680,476,1250,439,229,203,518,681,1998
256,Texas A&M,27,7,20,.259,0.04,2.37,1,15,7,8,0,10,2026,2089,1085,761,1781,.427,127,413,.308,377,651,.579,420,1096,462,288,94,450,581,1998
257,Texas Southern,31,15,16,.484,-9.81,-7.33,12,4,7,3,5,7,2328,2357,,796,1931,.412,209,694,.301,527,775,.680,458,1197,460,240,55,495,670,1998
258,Texas State,28,17,11,.607,-5.66,-8.21,10,6,9,3,6,6,2038,1951,,717,1563,.459,118,348,.339,486,666,.730,371,1109,384,197,68,453,596,1998
259,Texas Tech,27,13,14,.481,4.07,5.37,7,9,8,5,5,8,2088,2123,1100,714,1585,.450,208,559,.372,452,652,.693,278,984,393,169,81,390,517,1998
260,Texas-Rio Grande Valley,27,3,24,.111,-18.45,0.96,3,15,3,8,0,15,1951,2549,,716,1744,.411,185,640,.289,334,526,.635,309,841,393,277,35,499,646,1998
261,The Citadel,28,15,13,.536,-8.53,-9.03,6,8,9,5,5,7,1816,1741,,642,1460,.440,118,346,.341,414,591,.701,327,1021,377,153,120,399,585,1998
262,Toledo,27,15,12,.556,4.55,0.20,10,8,10,3,5,9,1905,1749,,632,1506,.420,170,515,.330,471,677,.696,366,1067,356,202,71,442,501,1998
263,Towson,28,8,20,.286,-5.98,-3.70,4,14,5,8,1,12,1784,1848,,620,1397,.444,169,446,.379,375,551,.681,272,884,361,225,56,475,517,1998
264,Troy,27,7,20,.259,-23.07,-9.87,5,11,5,6,1,12,1914,2201,,694,1848,.376,184,701,.262,342,516,.663,445,1102,314,244,90,447,531,1998
265,Tulane,29,7,22,.241,-3.41,2.38,2,14,5,9,1,10,1931,2099,,686,1766,.388,146,501,.291,413,667,.619,479,1153,370,275,155,550,634,1998
266,Tulsa,31,19,12,.613,6.41,3.18,9,5,11,4,6,6,2114,2013,1255,722,1658,.435,211,621,.340,459,671,.684,400,1190,464,234,157,574,599,1998
267,UAB,33,21,12,.636,6.88,4.66,10,6,11,4,7,6,2482,2381,,860,1945,.442,185,508,.364,577,856,.674,466,1335,454,253,92,569,719,1998
268,UC Irvine,27,9,18,.333,-8.07,0.49,6,10,7,8,2,10,1681,1877,,564,1407,.401,172,515,.334,381,517,.737,253,815,328,223,51,448,560,1998
269,UC Santa Barbara,26,7,19,.269,-7.47,-0.31,4,12,5,9,2,10,1861,1977,,689,1494,.461,120,378,.317,363,519,.699,341,935,367,169,66,455,501,1998
270,UCF,28,17,11,.607,-5.09,-7.94,11,5,8,5,8,6,2130,1998,,788,1675,.470,137,391,.350,417,630,.662,375,1071,429,258,116,469,591,1998
271,UCLA NCAA,33,24,9,.727,13.03,10.99,12,6,14,2,7,5,2743,2654,1325,985,2011,.490,169,490,.345,604,909,.664,435,1192,524,284,109,550,651,1998
272,UNC Asheville,28,19,9,.679,-4.27,-5.95,11,1,12,0,7,7,2002,1872,,707,1542,.458,119,358,.332,469,728,.644,407,1081,392,240,165,493,488,1998
273,UNC Greensboro,28,9,19,.321,-12.69,-4.45,6,9,6,7,2,11,1783,1986,,654,1531,.427,124,370,.335,351,499,.703,375,1011,353,159,60,463,544,1998
274,UNC Wilmington,31,20,11,.645,0.40,-0.08,13,3,9,0,8,11,1920,1905,1250,691,1660,.416,179,488,.367,359,539,.666,335,984,404,222,48,360,576,1998
275,UT Arlington,29,13,16,.448,-11.35,-7.50,8,8,7,5,4,10,2078,2150,,737,1685,.437,188,554,.339,416,603,.690,381,1032,425,197,51,435,529,1998
276,Utah NCAA,34,30,4,.882,17.08,4.90,12,2,13,0,10,3,2381,1959,,809,1685,.480,175,469,.373,588,805,.730,383,1259,454,196,111,454,619,1998
277,Utah State NCAA,33,25,8,.758,6.54,1.44,13,3,14,0,7,7,2375,2140,,856,1771,.483,139,324,.429,524,747,.701,378,1174,352,183,68,440,574,1998
278,UTEP,26,12,14,.462,0.57,2.99,3,11,10,6,2,7,1670,1710,1055,580,1411,.411,127,413,.308,383,587,.652,299,948,313,150,80,335,504,1998
279,UTSA,27,16,11,.593,-5.93,-9.77,10,6,8,4,7,6,2050,1953,,733,1603,.457,162,499,.325,422,683,.618,371,1053,406,218,116,443,560,1998
280,Valparaiso NCAA,33,23,10,.697,1.76,-2.66,13,3,10,3,7,5,2440,2257,,861,1831,.470,187,499,.375,531,754,.704,441,1232,531,215,90,491,643,1998
281,Vanderbilt,33,20,13,.606,11.68,7.01,7,9,13,3,5,8,2470,2316,,888,1900,.467,199,572,.348,495,701,.706,386,1106,469,327,80,522,576,1998
282,Vermont,27,16,11,.593,-2.67,-6.79,11,7,11,2,5,8,2005,1884,1100,704,1629,.432,141,460,.307,456,678,.673,385,1069,387,196,140,389,540,1998
283,Villanova,29,12,17,.414,6.75,9.06,8,10,8,6,3,10,2025,2092,1180,758,1761,.430,211,638,.331,298,455,.655,396,1064,474,202,133,482,527,1998
284,Virginia,30,11,19,.367,6.03,10.33,3,13,6,7,1,9,1972,2101,1225,719,1637,.439,180,529,.340,354,542,.653,341,1090,424,134,119,495,588,1998
285,Virginia Commonwealth,28,9,19,.321,-5.01,-1.73,4,12,7,7,1,11,1787,1879,1125,644,1549,.416,161,530,.304,338,510,.663,372,1031,374,184,103,453,470,1998
286,VMI,27,14,13,.519,-11.27,-5.66,8,7,9,4,5,8,2037,2022,,734,1778,.413,205,611,.336,364,555,.656,384,980,392,280,94,426,508,1998
287,Virginia Tech,27,10,17,.370,3.21,4.66,5,11,8,6,2,7,1787,1826,,659,1514,.435,139,417,.333,330,489,.675,343,965,344,166,115,409,550,1998
288,Wagner,29,13,16,.448,-11.54,-7.33,7,9,8,4,2,11,2129,2215,1175,773,1843,.419,168,475,.354,415,658,.631,434,1138,459,265,97,529,594,1998
289,Wake Forest,30,16,14,.533,9.62,10.36,7,9,12,6,3,6,1974,1996,1205,645,1594,.405,235,619,.380,449,642,.699,371,1058,298,131,104,419,506,1998
290,Washington NCAA,30,20,10,.667,10.28,8.28,11,7,12,2,6,7,2359,2299,1210,843,1729,.488,147,417,.353,526,758,.694,365,1066,463,196,114,528,509,1998
291,Washington State,29,10,19,.345,4.98,7.79,3,15,5,6,4,9,2082,2087,1175,720,1633,.441,159,428,.371,483,707,.683,360,1100,370,184,94,550,637,1998
292,Weber State,27,14,13,.519,-0.19,-1.10,12,4,9,2,4,9,1957,1925,1085,701,1580,.444,170,486,.350,385,541,.712,359,971,387,217,34,411,561,1998
293,West Virginia NCAA,33,24,9,.727,16.24,6.95,11,7,13,1,4,6,2647,2282,1325,1027,2228,.461,171,515,.332,422,688,.613,554,1325,523,407,116,445,613,1998
294,Western Carolina,27,12,15,.444,-10.70,-6.36,6,9,8,4,3,9,1946,1979,,722,1695,.426,150,468,.321,352,492,.715,340,961,425,216,45,379,469,1998
295,Western Illinois,27,16,11,.593,-8.13,-6.69,11,5,11,1,4,8,1918,1896,,679,1563,.434,174,452,.385,386,574,.672,383,1002,428,204,48,393,535,1998
296,Western Kentucky,29,10,19,.345,-5.28,-1.31,6,12,6,8,3,10,1905,2020,1175,696,1626,.428,152,457,.333,361,566,.638,367,999,359,239,114,562,627,1998
297,Western Michigan NCAA,29,21,8,.724,10.28,1.90,14,4,11,2,8,4,2286,2043,1165,800,1701,.470,209,511,.409,477,639,.746,306,929,443,275,71,427,553,1998
298,Wichita State,31,16,15,.516,0.95,1.89,11,7,10,5,5,6,1970,1999,1260,663,1741,.381,191,654,.292,453,724,.626,400,1110,383,255,60,446,717,1998
299,William & Mary,27,20,7,.741,3.31,-4.00,13,3,12,1,7,5,1888,1668,,654,1494,.438,187,526,.356,393,602,.653,309,978,395,215,122,374,471,1998
300,Winthrop,27,7,20,.259,-20.09,-8.59,4,8,4,9,3,10,1711,1912,,621,1592,.390,155,550,.282,314,508,.618,370,952,357,218,80,414,513,1998
301,Wisconsin,31,12,19,.387,7.19,9.22,3,13,7,8,2,9,1877,1940,,644,1579,.408,130,438,.297,459,652,.704,317,996,348,189,95,431,642,1998
302,Wofford,27,9,18,.333,-16.06,-4.85,6,8,8,3,1,15,1746,1892,,638,1620,.394,167,563,.297,303,478,.634,368,965,341,183,78,477,531,1998
303,Wright State,28,10,18,.357,-4.35,1.51,3,11,6,7,3,10,1881,2009,,678,1569,.432,107,346,.309,418,632,.661,354,1006,332,207,71,529,551,1998
304,Wyoming,28,19,9,.679,5.53,1.57,9,5,13,2,4,6,1786,1656,1135,558,1335,.418,157,455,.345,513,713,.719,281,949,307,157,68,369,553,1998
305,Xavier NCAA,30,22,8,.733,19.46,4.76,11,5,14,1,5,5,2506,2065,1205,848,1752,.484,170,487,.349,640,867,.738,437,1103,494,354,80,509,653,1998
306,Yale,26,12,14,.462,-9.71,-6.79,7,7,7,5,3,8,1693,1742,1070,554,1279,.433,150,459,.327,435,592,.735,233,845,311,215,47,461,485,1998
307,Youngstown State,29,20,9,.690,-1.92,-7.66,11,5,10,3,7,5,2098,1872,,754,1713,.440,199,557,.357,391,586,.667,437,1139,423,176,104,422,497,1998
